cluster	org_name	org_node	org_lat	org_long	org_inc	hosp_name	hosp_node	hosp_lat	hosp_long	hosp_inc	hosp_bed	subject1	subject2	subject3	subject4	subject5	subject1_count	subject2_count	subject3_count	subject4_count	subject5_count	subject1_cost	subject2_cost	subject3_cost	subject4_cost	subject5_cost	FIPS	n1	n2	county
cluster_0_1_3_11_25_80_153_279_1164	'University of California, Los Angeles'@en	Q174710	34.07222222222222	-118.4441666666667	1919.0	'Spaulding Hospital'@en	Q30270420	42.375748	-71.107052		657.8843930635838	'hydrogel'@en	'tissue engineering'@en	'microfluidics'@en	'drug delivery'@en	'biomimetics'@en	314600.0	171600.0	134200.0	26400.0	24200.0	193838575216.0	105730131936.0	82686385232.0	16266174144.0	14910659632.0	1001.0	0.8057	0.391	Autauga County
cluster_0_1_3_11_25_80_153_279_1164	'Harvard University'@en	Q13371	42.374443888889	-71.116943888889	1636.0	'Spaulding Hospital'@en	Q30270420	42.375748	-71.107052		657.8843930635838	'hydrogel'@en	'tissue engineering'@en	'Adenoviridae'@en	'microfluidics'@en	'Zika virus'@en	314600.0	171600.0	163488.0	134200.0	66024.0	193838575216.0	105730131936.0	1803773393552.0	82686385232.0	728446947396.0	1003.0	0.8362	0.452	Baldwin County
cluster_0_0_2_2_11_1_15_90_574	'University of Texas MD Anderson Cancer Center'@en	Q1525831	29.7078	-95.3975	1941.0	'University of Texas MD Anderson Cancer Center'@en	Q1525831	29.7078	-95.3975	1941.0	507.0	'genome-wide association study'@en	'colorectal cancer'@en	'rheumatoid arthritis'@en	'susceptibility locus'@en	'adenocarcinoma'@en	183654.0	93438.0	93438.0	83772.0	28998.0	148287483144.0	75444508968.0	75444508968.0	67639904592.0	23413813128.0	1005.0	0.6891	0.324	Barbour County
cluster_0_1_1_12_27_75_144_358_1672	'Harvard University'@en	Q13371	42.374443888889	-71.116943888889	1636.0	'Spaulding Hospital'@en	Q30270420	42.375748	-71.107052		657.8843930635838	'Adenoviridae'@en	'microfluidics'@en	'Zika virus'@en	'Simian immunodeficiency virus'@en	'antibody'@en	163488.0	134200.0	66024.0	47160.0	44016.0	1803773393552.0	82686385232.0	728446947396.0	520319248140.0	485631298264.0	1007.0	0.3368	0.136	Bibb County
cluster_0_1_4_7_21_36_48_78_451	'University of Pittsburgh Graduate School of Public Health'@en	Q7896126	40.4426	-79.9582	1948.0	'Center for Emergency Medicine of Western Pennsylvania'@en	Q5059612	40.4392	-79.9589		657.8843930635838	'manufacturing'@en	'nanotechnology'@en	'toxicology'@en	'respiratory disease'@en	'cell biology'@en	155344.0	110960.0	77088.0	66576.0	64240.0	67626695668.0	48304782620.0	33559112136.0	28982869572.0	27965926780.0	1009.0	0.758	0.199	Blount County
cluster_0_1_3_11_25_80_153_279_1164	'Harvard University'@en	Q13371	42.374443888889	-71.116943888889	1636.0	'Spaulding Hospital'@en	Q30270420	42.375748	-71.107052		657.8843930635838	'microfluidics'@en	'Zika virus'@en	'Simian immunodeficiency virus'@en	'antibody'@en	'lymphocyte'@en	134200.0	66024.0	47160.0	44016.0	31440.0	82686385232.0	728446947396.0	520319248140.0	485631298264.0	346879498760.0	1011.0	0.9363	0.157	Bullock County
cluster_0_0_0_5_7_22_30_47_77	'Columbia University Mailman School of Public Health'@en	Q5149896	40.8426	-73.9432	1922.0	'Neurological Institute of New York'@en	Q377963	40.8423	-73.9429		657.8843930635838	'DNA methylation'@en	'air pollution'@en	'Italy'@en	'telomere length'@en	'microRNA'@en	112360.0	50880.0	16960.0	16960.0	14840.0	94539519348.0	42810348384.0	14270116128.0	14270116128.0	12486351612.0	1013.0	0.6814	0.183	Butler County
cluster_0_0_2_2_11_35_47_77_406	'University of North Carolina at Chapel Hill'@en	Q192334	35.908611111111	-79.049166666667	1789.0	'University of North Carolina Hospitals'@en	Q30288421	35.90515	-79.050011	1989.0	657.8843930635838	'genome-wide association study'@en	'obesity'@en	'atherosclerosis'@en	'metabolic syndrome'@en	'community health'@en	109908.0	66456.0	43452.0	40896.0	25560.0	146513741760.0	88589704320.0	57924037440.0	54516741120.0	34072963200.0	1015.0	0.9298	0.419	Calhoun County
cluster_0_0_0_5_34_82_165_315_1172	'Yale University'@en	Q49112	41.311111111111	-72.926666666667	1701.0	'Smilow Cancer Hospital'@en	Q50037095	41.304278	-72.935676	2009.0	657.8843930635838	'phosphorylation'@en	'Toll-like receptor'@en	'CRISPR'@en	'corpus striatum'@en	'dopamine'@en	89590.0	35700.0	24642.0	18972.0	16864.0	64954902540.0	12030315900.0	51124215276.0	13755155832.0	12226805184.0	1017.0	0.8453	0.501	Chambers County
cluster_0_1_4_7_21_36_48_179_1406	'Boston University'@en	Q49110	42.3496	-71.0997	1869.0	'Joslin Diabetes Center'@en	Q1708743	42.339101	-71.10844	1952.0	657.8843930635838	'atrial fibrillation'@en	'cardiovascular disease'@en	'heart failure'@en	'genome-wide association study'@en	'biomarker'@en	82524.0	36777.0	30498.0	27807.0	26910.0	54960702204.0	24493356417.0	20311563858.0	18519367047.0	17921968110.0	1019.0	0.9892	0.125	Cherokee County
