id	node1	label	node2	node2;coor	node2;label
	cluster_0_0_2_2_14_112_322	member	QNIHPER10003954	@41.504/-81.608	'Case Western Reserve University'@en
	cluster_0_0_2_2_14_112_322	member	QNIHPER10428590	@37.5625/126.945	'Ewha Womans University'@en
	cluster_0_0_3_6_21_40_1800	member	QNIHPER10004092	@44.564588/-123.275705	'Oregon State University'@en
	cluster_0_0_3_6_21_40_1238	member	QNIHPER12571233	@42.447222222222/-76.483055555556	'Cornell University'@en
	cluster_0_0_3_6_21_40_1238	member	QNIHPER2098890	@46.343224/-119.276333	'Pacific Northwest National Laboratory'@en
	cluster_0_0_2_3_22_129_391	member	QNIHPER10011950	@35.208611111111/-97.445833333333	'University of Oklahoma'@en
	cluster_0_0_2_3_22_129_391	member	QNIHPER6379098	@40.914224/-73.11623	'Stony Brook University'@en
	cluster_0_0_3_5_30_15_1005	member	QNIHPER10013449	@38.035555555556/-78.503333333333	'University of Virginia'@en
	cluster_0_0_3_5_30_15_1005	member	QNIHPER6719337	@42.374443888889/-71.116943888889	'Harvard University'@en
	cluster_0_0_2_3_24_103_1363	member	QNIHPER10046004	@29.7105/-95.3965	'Baylor College of Medicine'@en
	cluster_0_0_2_3_24_103_2283	member	QNIHPER7039414	@29.7077/-95.4016	'Texas Children\'s Hospital'@en
	cluster_0_0_3_6_7_2_1905	member	QNIHPER10050947	@40.7421/-73.9744	'New York University School of Medicine'@en
	cluster_0_0_3_6_7_2_1975	member	QNIHPER9770421	@40.741969/-73.974033	'NYU Langone Medical Center'@en
	cluster_0_0_2_2_14_146_961	member	QNIHPER10063209	@39.953885/-75.193048	'University of Pennsylvania'@en
	cluster_0_0_2_2_14_146_1794	member	QNIHPER1869099	@39.953885/-75.193048	'University of Pennsylvania'@en
	cluster_0_0_3_6_7_2_2378	member	QNIHPER10063277	@35.08389/-106.61861	'University of New Mexico'@en
	cluster_0_0_3_6_7_2_843	member	QNIHPER7264821	@35.08389/-106.61861	'University of New Mexico'@en
	cluster_0_0_3_6_11_102_1932	member	QNIHPER10070112	@39.7743/-86.1764	'Indiana University – Purdue University Indianapolis'@en
	cluster_0_0_3_6_11_102_811	member	QNIHPER6869311	@39.167222/-86.521389	'Indiana University Bloomington'@en
	cluster_0_0_2_2_14_112_322	member	QNIHPER10116289	@40.444565/-79.953274	'University of Pittsburgh'@en
	cluster_0_0_2_2_14_112_322	member	QNIHPER1894234	@40.444565/-79.953274	'University of Pittsburgh'@en
	cluster_0_0_3_6_7_21_1856	member	QNIHPER10126956	@36.001111111111/-78.938888888889	'Duke University'@en
	cluster_0_0_3_6_7_21_1856	member	QNIHPER11121638	@45.50414/-73.61433	'Université de Montréal'@en
	cluster_0_0_3_6_7_21_1856	member	QNIHPER1963661	@35.908611111111/-79.049166666667	'University of North Carolina'@en
	cluster_0_0_3_6_7_31_2272	member	QNIHPER10127717	@38.54/-121.75	'University of California, Davis'@en
	cluster_0_0_3_6_7_31_2272	member	QNIHPER9847417	@38.54/-121.75	'University of California, Davis'@en
	cluster_0_0_2_2_9_125_787	member	QNIHPER10131060	@41.661666666667/-91.536388888889	'University of Iowa'@en
	cluster_0_0_2_2_9_125_787	member	QNIHPER1883321	@41.661666666667/-91.536388888889	'University of Iowa'@en
	cluster_0_0_2_2_9_125_787	member	QNIHPER7601285	@43.07527778/-89.40972222	'University of Wisconsin–Madison'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER10166448	@36.148649/-86.804972	'Vanderbilt University'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER8585373	@36.148649/-86.804972	'Vanderbilt University'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER10169386	@39.953235/-82.979359	'Nationwide Children\'s Hospital'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER1884100	@33.791111111111/-84.323333333333	'Emory University'@en
	cluster_0_0_3_5_28_12_2311	member	QNIHPER10180295	@44.975277777778/-93.234166666667	'University of Minnesota'@en
	cluster_0_0_3_5_28_12_2311	member	QNIHPER1967628	@44.975277777778/-93.234166666667	'University of Minnesota'@en
	cluster_0_0_3_5_28_12_2311	member	QNIHPER1903935	@37.546615/-77.453255	'Virginia Commonwealth University'@en
	cluster_0_0_2_2_14_8_1497	member	QNIHPER10182147	@29.7105/-95.3965	'Baylor College of Medicine'@en
	cluster_0_0_2_2_14_8_1497	member	QNIHPER6269320	@41.5024/-81.6176	'Cleveland Clinic'@en
	cluster_0_0_3_6_21_77_1289	member	QNIHPER10187111	@40.850852/-73.844949	'Albert Einstein College of Medicine'@en
	cluster_0_0_3_6_21_77_1289	member	QNIHPER7695692	@41.826167/-71.40325	'Brown University'@en
	cluster_0_0_2_2_14_112_374	member	QNIHPER10197460	@52.083333333333/0.18333333333333	'Wellcome Sanger Institute'@en
	cluster_0_0_2_2_14_112_374	member	QNIHPER8036547	@37.4282293/-122.1688576	'Stanford University'@en
	cluster_0_0_2_2_14_112_374	member	QNIHPER7717007	@41.3855/2.19403	'Centre for Genomic Regulation'@en
	cluster_0_0_2_3_23_51_1075	member	QNIHPER10201825	@40.7641/-73.9568	'Memorial Sloan Kettering Cancer Center'@en
	cluster_0_0_2_3_23_51_1075	member	QNIHPER8847359	@40.7421/-73.9744	'New York University School of Medicine'@en
	cluster_0_0_3_5_28_70_916	member	QNIHPER10202604	@36.001111111111/-78.938888888889	'Duke University'@en
	cluster_0_0_3_5_28_70_1259	member	QNIHPER1857640	@39.545833333333/-119.81666666667	'University of Nevada, Reno'@en
	cluster_0_0_3_5_30_82_1373	member	QNIHPER10202799	@37.4282293/-122.1688576	'Stanford University'@en
	cluster_0_0_3_5_30_82_1373	member	QNIHPER9060443	@36.001111111111/-78.938888888889	'Duke University'@en
	cluster_0_0_2_2_9_125_787	member	QNIHPER10203203	@39.953885/-75.193048	'University of Pennsylvania'@en
	cluster_0_0_2_2_9_125_787	member	QNIHPER7052249	@39.953885/-75.193048	'University of Pennsylvania'@en
	cluster_0_0_3_6_7_31_2272	member	QNIHPER10222384	@41.256/-95.9758	'University of Nebraska Medical Center'@en
	cluster_0_0_3_6_7_31_2272	member	QNIHPER9765464	@41.661666666667/-91.536388888889	'University of Iowa'@en
	cluster_0_0_3_5_30_82_1373	member	QNIHPER10223174	@41.789722222222/-87.599722222222	'University of Chicago'@en
	cluster_0_0_3_5_30_82_1373	member	QNIHPER8360249	@33.9975/-81.025277777778	'University of South Carolina'@en
	cluster_0_0_3_6_11_3_351	member	QNIHPER10223761	@38.648/-90.305	'Washington University in St. Louis'@en
